"dataset","model","loglik","loglik.sd","nfail.max","nfail.min","gamma","eps","rho","delta","deltaI","clin","alpha","beta.trend","log.beta1","log.beta2","log.beta3","log.beta4","log.beta5","log.beta6","omega1","omega2","omega3","omega4","omega5","omega6","sd.beta","tau","S.0","I.0","Rs.0","R1.0","R2.0","R3.0","nbasis","nrstage"
"Chittatong","omega",-3282.02886218353,22.2365544832606,2,0,4.86117763769389,2.60566955617581,0,0.02,0.0522976711092612,1,1,-0.0123551176373665,-0.486144993914578,4.5475951242058,0.0779446527684887,0.298381420658592,1.48887929871114,4.28919149818029,0.00664073938022718,0.00928851985415762,0.0156321221586475,0.000740292305500217,0.00737254804130837,5.18340956831492e-05,2.9510139240396,0.402836303368037,1.19361478000763,0.0169940449714752,0,0.000584481912544591,0.016293694303525,0.000131631054122457,6,3
"Chittatong","omega",-3282.30390187062,15.6543622320769,1,0,12,5.2415,0,0.02,0.0584491678150927,1,1,-0.0114544113410443,1.64185002085226,3.59687268468347,2.46698611163599,1.87006739945166,2.01583870858537,3.96856332792573,0.00286769131485178,0.0190150758128492,0.0130202957089627,0.00461240513994745,0.00124791446168976,0.00593502146330128,2.98942146285492,0.429493575467219,0.27357322739877,0.00350641298941127,0,0.00128284313131456,0.00867572012000858,0.000703387806913093,6,3
"Chittatong","omega",-3283.79876043256,20.0048445434141,2,0,4.53242882497763,7.70655934900853,0,0.02,0.0497790244132536,1,1,-0.0112819054834822,-0.346233639061717,4.5475951242058,-0.109233934034275,-0.937991616891423,1.324832370595,4.26929333203685,0.00148628914665378,0.0396522395896964,0.00181911480634192,0.00123716514454596,0.00409141859087084,0.00322451754377664,3.15039486164866,0.387784371469932,0.60382201231631,0.00750487762076027,0,0.000477724382612156,0.00432006300539572,7.8300912692739e-05,6,3
"Chittatong","omega",-3283.96233429046,20.8672454683354,2,0,5.30377430184858,6.908172783488,0,0.02,0.0546463885875058,1,1,-0.00551907700227397,-0.0995055959303966,4.35767281065348,0.439061968318158,0.958033109708925,1.12610291838664,4.28712705143005,0.00197281069577055,0.0210557574579778,0.0146732692031135,0.00211490547240506,0.000789431807665543,0.0007130187280241,2.86156888638366,0.430065990475126,0.842748055346074,0.0111065808287761,0,0.000670790268553503,0.0101592538998746,0.00029289173429873,6,3
"Chittatong","omega",-3284.98261880695,17.2032440159244,2,0,12,6.9082,0,0.02,0.0537540518226606,1,1,-0.00992508419169213,1.55732056263687,3.91114534970324,1.87527079724974,1.76292251968401,2.58247478138857,3.94431553320407,0.00225962848911134,0.038850217246193,0.00383906978313109,0.0212108003718501,0.000511818628178916,0.00616518334139955,2.97530878578682,0.424790975118888,1.12353283051718,0.013037316743771,0,0.00144211448522882,0.050848925704245,0.000494561168516802,6,3
"Chittatong","omega",-3286.06794790072,13.6444427742498,2,0,5.30377430184858,1.317980629213,0,0.02,0.0683504494131639,1,1,-0.00900518121615853,-0.092389831520718,4.77105158283686,0.219040257001249,0.613223195648736,0.614791659696929,4.49854243664962,0.0028360565725148,0.0148857713629468,0.00348651369586401,0.00192123018430089,0.00152709944167475,0.00128169735855584,2.9994305721784,0.443857224159272,0.705178609887796,0.00752398669862122,0,0.001281270661529,0.00964905720174034,0.000100679339274172,6,3
"Chittatong","omega",-3286.13746027004,24.0024832421079,2,0,5.30377430184858,1.317980629213,0,0.02,0.0747694626028422,1,1,-0.0110447584697488,-0.937901002226055,4.86899367213304,0.0914114007275943,-0.141344539531095,1.60857456655563,4.52433305231802,0.00221762098450842,0.018313985061801,0.0171452672130899,0.00165854747997703,0.00145098743155551,0.000849469305738956,2.89453911043677,0.386619518707708,0.84473065336213,0.00984051626408852,0,0.000363708532682827,0.0114880317331471,9.07286015501759e-05,6,3
"Chittatong","omega",-3286.21914380055,19.203901425223,2,0,12,36.2091,0,0.02,0.0403121246245151,1,1,-0.0019219309568004,0.936301783751667,4.32919460356173,1.58364082852009,2.62563576818706,1.38726342046906,4.76823063044954,0.00926293006252885,0.0359725445192544,0.00610634553317441,0.00758733083165423,0.00329618736554434,0.00100173442464338,3.20558128042363,0.439686079220049,0.0132341176785466,0.00113592186079357,0,0.0043172134703815,0.037391441685372,2.3717580494326e-05,6,3
"Chittatong","omega",-3286.54141021965,13.982517168815,2,0,5.30377430184858,12,0,0.02,0.0410603174293553,1,1,-0.0130677551872622,-0.169507741432611,4.24031065615833,0.518382398670468,0.906555312173296,1.41011676494685,4.15150224116908,0.0109613690364796,0.0263946435836702,0.0010299472053462,0.00915437816192633,0.00125984772304402,0.000182819546226577,3.09296364265368,0.386964811329976,0.310751911114681,0.00559670364194277,0,0.00231543188411847,0.0110213670199651,0.000309413027262979,6,3
"Chittatong","omega",-3287.17490290288,16.8508711172772,2,0,21.1764705882353,7.184551177703,0,0.02,0.135029322507061,1,1,-0.00537004530056887,2.37785320989776,4.20547070869009,2.37426232137751,3.48154800827018,2.64323886355765,4.26689681373091,0.00135368627050151,0.0095800829098565,0.00428210067076544,0.00190831737466492,0.000115524605269216,0.00138058088736481,3.36507455593814,0.418772194874681,6.35754225330915,0.0267153515077884,0,8.59052449544158e-05,0.00107992274492781,8.15480572228322e-06,6,3
"Chittatong","omega",-3289.02839787834,31.9593234796021,3,0,12,3.9769,0,0.02,0.0524879201293961,1,1,-0.00902774390653414,0.153090047755354,4.73503518775414,1.275660324388,3.56807336782986,0.82355034963547,5.09899321221001,0.0794264229083431,0.00357076423825433,0.0127916920342377,0.000424320905186253,0.0033478401747944,0.00020262106099483,3.06313435202692,0.45586968202266,0.98028593078226,0.0162691479177415,0,0.000588184162695111,0.0176698985678432,0.000162434745393363,6,3
"Chittatong","omega",-3289.37176935896,16.2043008257099,2,0,6.95064319702377,4.49580063590308,0,0.02,0.0673688048399737,1,1,-0.00755158004729688,-0.540073967560324,4.5475951242058,0.454292719114123,1.91718843133903,0.402591466742126,4.83517659327432,0.00478726287485143,0.0502421552867307,0.00117463571676981,0.00149274285431032,0.00275393982912242,0.000867064130787729,2.88297023389103,0.435277841207661,1.21504677512043,0.0100490136692152,0,0.00344088947475799,0.0662627522298554,0.000660148885257118,6,3
